date,desc,amount,cat,debit,credit,Balance,Unnamed: 7,Unnamed: 8
24/6/20,Visa Purchase                 22Jun Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,806.5,,
24/6/20,Visa Purchase                 21Jun Msft *<E0700Bft0W>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,846.49,,
23/6/20,Visa Purchase                 20Jun Paypal *Netflix.Com  402-935-7,-19.82,Expense - Subscriptions & Software Licences,19.82,0.0,869.26,,
20/6/20,Visa Purchase                 18Jun Rent A Space Moore P Moore Par,-362.0,Expense - Storage,362.0,0.0,889.08,,
19/6/20,Visa Purchase                 17Jun Uber   *Trip         Sydney,-24.17,Expense - Travel - Taxis,24.17,0.0,1251.08,,
18/6/20,Visa Purchase                 17Jun Uber Trip Help.Uber. Sydney,-3.0,Expense - Travel - Taxis,3.0,0.0,1275.25,,
18/6/20,Internet Deposit              18Jun11:46 Storage Ets,1000.0,Expense - Storage,0.0,1000.0,1278.25,,
16/6/20,Osko Withdrawal               16Jun13:11 It Lunch W Tonez W Li,-53.4,Expense - Meeting,53.4,0.0,278.25,,
15/6/20,Osko Deposit                  15Jun08:37 Pizza And Beers Mr Martin Nicholas Aspi,60.0,Personal - Family,0.0,60.0,331.65,,
9/6/20,Foreign Currency Conversn Fee,-0.64,Fees,0.64,0.0,271.65,,
9/6/20,Visa Purchase O/Seas          07Jun Usd14.95 Audible*My0Z92Me0,-21.58,Expense - Subscriptions & Software Licences,21.58,0.0,272.29,,
4/6/20,Visa Purchase                 02Jun Paypal *Google Googl 402935773,-24.99,Expense - Subscriptions & Software Licences,24.99,0.0,293.87,,
2/6/20,Visa Purchase                 31May Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,318.86,,
1/6/20,Visa Purchase                 29May Paypal *Sam Harris O 402935773,-6.33,Expense - Subscriptions & Software Licences,6.33,0.0,348.86,,
30/5/20,Visa Purchase                 28May Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,355.19,,
30/5/20,Visa Purchase                 28May Spotify P0Fea7Fa7B   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,455.19,,
30/5/20,Foreign Currency Conversn Fee,-0.18,Fees,0.18,0.0,467.18,,
30/5/20,Visa Purchase O/Seas          28May Usd4.00 Github,-6.07,Expense - Subscriptions & Software Licences,6.07,0.0,467.36,,
25/5/20,Visa Purchase                 22May Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,473.43,,
25/5/20,Visa Purchase                 21May Msft *<E0700B66J5>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,513.42,,
22/5/20,Visa Purchase                 20May Paypal *Netflix.Com  402-935-7,-20.79,Expense - Subscriptions & Software Licences,20.79,0.0,536.19,,
15/5/20,Atm Withdrawal                15May14:04 *Elizabeth St South      Sydney       Au,-100.0,Personal - Cash Out,100.0,0.0,556.98,,
14/5/20,Visa Purchase                 12May Rent A Space Moore P Moore Par,-362.0,Expense - Storage,362.0,0.0,656.98,,
12/5/20,Visa Purchase                 11May Abduls Restaurant    Surry Hil,-13.5,Expense - Meeting,13.5,0.0,1018.98,,
11/5/20,Internet Deposit              11May13:26 From 0000467806067,1000.0,Account Transfer (In),0.0,1000.0,1032.48,,
9/5/20,Foreign Currency Conversn Fee,-0.7,Fees,0.7,0.0,32.48,,
9/5/20,Visa Purchase O/Seas          07May Usd14.95 Audible*Z96Sr0Y23,-23.45,Expense - Subscriptions & Software Licences,23.45,0.0,33.18,,
5/5/20,Cardless Atm Withdrawal       05May12:40 Redfern Os               Redfern      Au,-50.0,Personal - Cash Out,50.0,0.0,56.63,,
2/5/20,Visa Purchase                 30Apr Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,106.63,,
2/5/20,Visa Purchase                 01May Omafiets Dutch Bicyc Alexandri,-53.0,Expense - Travel - Taxis,53.0,0.0,206.63,,
2/5/20,Visa Purchase                 30Apr Woolworths      1474 Redfern,-42.0,Personal - Groceries,42.0,0.0,259.63,,
2/5/20,Visa Purchase                 30Apr Sq *Bloc145          Redfern,-9.5,Expense - Meeting,9.5,0.0,301.63,,
2/5/20,Visa Purchase                 01May Ambour S Hardware St Redfern,-5.95,Expense - Office Supplies,5.95,0.0,311.13,,
1/5/20,Visa Purchase                 30Apr Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,317.08,,
1/5/20,Visa Purchase                 29Apr Paypal *Sam Harris O 402935773,-6.48,Expense - Subscriptions & Software Licences,6.48,0.0,347.08,,
30/4/20,Visa Purchase                 28Apr Chemist Warehouse    Darlinghu,-24.95,Personal - Health & Wellbeing,24.95,0.0,353.56,,
30/4/20,Visa Purchase                 29Apr Two Tales Cafe       Alexandri,-12.4,Expense - Office Supplies,12.4,0.0,378.51,,
30/4/20,Visa Purchase                 28Apr Spotify P0F83F1761   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,390.91,,
30/4/20,Visa Purchase                 28Apr Bread & Circus Whole Alexandri,-9.0,Personal - Eating Out,9.0,0.0,402.9,,
30/4/20,Foreign Currency Conversn Fee,-0.18,Fees,0.18,0.0,411.9,,
30/4/20,Visa Purchase O/Seas          28Apr Usd4.00 Github,-6.22,Expense - Subscriptions & Software Licences,6.22,0.0,412.08,,
29/4/20,Visa Purchase                 27Apr Bread & Circus Whole Alexandri,-10.0,Personal - Eating Out,10.0,0.0,418.3,,
29/4/20,Eftpos Debit                  29Apr18:21 Officeworks 0209      Glebe           Au,-27.21,Expense - Office Supplies,27.21,0.0,428.3,,
28/4/20,Visa Purchase                 24Apr The Tudor Redfern    Redfern,-23.99,Personal - Alcohol,23.99,0.0,455.51,,
28/4/20,Visa Purchase                 27Apr Abduls Restaurant    Surry Hil,-13.5,Expense - Meeting,13.5,0.0,479.5,,
24/4/20,Visa Purchase                 22Apr Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,493.0,,
24/4/20,Visa Purchase                 21Apr Msft *<E0700Awtnz>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,532.99,,
24/4/20,Visa Purchase                 23Apr Two Tales Cafe       Alexandri,-12.4,Expense - Meeting,12.4,0.0,555.76,,
24/4/20,Visa Purchase                 22Apr Katering Pty Ltd     Redfern,-4.5,Personal - Coffee,4.5,0.0,568.16,,
23/4/20,Visa Purchase                 22Apr Abduls Restaurant    Surry Hil,-13.5,Expense - Meeting,13.5,0.0,572.66,,
23/4/20,Visa Purchase                 22Apr Post Strawberry Hill Redfern,-2.2,Expense - Office Supplies,2.2,0.0,586.16,,
23/4/20,Internet Deposit              23Apr08:43 Coffee,500.0,Account Transfer (In),0.0,500.0,588.36,,
22/4/20,Visa Purchase                 21Apr Omafiets Dutch Bicyc Alexandri,-79.0,Expense - Travel,79.0,0.0,88.36,,
22/4/20,Visa Purchase                 20Apr Paypal *Netflix.Com  402-935-7,-21.43,Expense - Subscriptions & Software Licences,21.43,0.0,167.36,,
21/4/20,Visa Purchase                 20Apr Woolworths      1474 Redfern,-28.12,Personal - Groceries,28.12,0.0,188.79,,
21/4/20,Visa Purchase                 20Apr Abduls Restaurant    Surry Hil,-13.5,Expense - Meeting,13.5,0.0,216.91,,
21/4/20,Eftpos Debit                  21Apr09:42 Fountain Cafe         Alexandria   Nswau,-8.9,Expense - Meeting,8.9,0.0,230.41,,
17/4/20,Cardless Atm Withdrawal       17Apr11:28 Redfern Os               Redfern      Au,-100.0,Personal - Cash Out,100.0,0.0,239.31,,
15/4/20,Visa Purchase                 11Apr Rent A Space Moore P Moore Par,-362.0,Expense - Storage,362.0,0.0,339.31,,
9/4/20,Foreign Currency Conversn Fee,-0.73,Fees,0.73,0.0,701.31,,
9/4/20,Visa Purchase O/Seas          07Apr Usd14.95 Audible*M36D03Px3,-24.62,Expense - Subscriptions & Software Licences,24.62,0.0,702.04,,
8/4/20,Visa Purchase                 06Apr Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,726.66,,
8/4/20,Visa Purchase                 06Apr Spotify P0F3C75B8E   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,826.66,,
8/4/20,Eftpos Debit                  08Apr09:20 Fountain Cafe         Alexandria   Nswau,-4.9,Personal - Coffee,4.9,0.0,838.65,,
7/4/20,Visa Purchase                 04Apr Chinese Nth Dumpling Alexandri,-116.0,Personal - Family,116.0,0.0,843.55,,
7/4/20,Visa Purchase                 05Apr Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,959.55,,
7/4/20,Foreign Currency Conversn Fee,-0.35,Fees,0.35,0.0,989.55,,
7/4/20,Visa Purchase O/Seas          05Apr Usd7.00 Github,-11.71,Expense - Subscriptions & Software Licences,11.71,0.0,989.9,,
4/4/20,Internet Deposit              04Apr18:11 Dumplings,1000.0,Account Transfer (In),0.0,1000.0,1001.61,,
24/3/20,Visa Purchase                 22Mar Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,1.61,,
24/3/20,Visa Purchase                 21Mar Msft *<E0700Anlhs>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,41.6,,
23/3/20,Visa Purchase                 20Mar Paypal *Netflix.Com  402-935-7,-24.16,Expense - Subscriptions & Software Licences,24.16,0.0,64.37,,
14/3/20,Visa Purchase                 12Mar Rent A Space Moore P Moore Par,-362.0,Expense - Storage,362.0,0.0,88.53,,
14/3/20,Visa Purchase                 12Mar Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,450.53,,
11/3/20,Internet Deposit              11Mar10:26 Tfr Storage,500.0,Account Transfer (In),0.0,500.0,550.53,,
10/3/20,Foreign Currency Conversn Fee,-0.68,Fees,0.68,0.0,50.53,,
10/3/20,Visa Purchase O/Seas          07Mar Usd14.95 Audible*Ux05N2Xs3,-22.71,Expense - Subscriptions & Software Licences,22.71,0.0,51.21,,
9/3/20,Visa Purchase                 06Mar Uber Trip Help.Uber. Sydney,-14.63,Expense - Travel - Taxis,14.63,0.0,73.92,,
6/3/20,Cardless Atm Withdrawal       06Mar14:05 St.George Bank        Darlinghurst 2  Au,-50.0,Personal - Cash Out,50.0,0.0,88.55,,
6/3/20,Internet Deposit              06Mar14:02 Cardless Cash,100.0,Account Transfer (In),0.0,100.0,138.55,,
3/3/20,Visa Purchase                 29Feb Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,38.55,,
3/3/20,Visa Purchase                 29Feb Paypal *Sam Harris O 402935773,-6.46,Expense - Subscriptions & Software Licences,6.46,0.0,68.55,,
2/3/20,Visa Purchase                 28Feb Spotify P0Ebef565A   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,75.01,,
2/3/20,Foreign Currency Conversn Fee,-0.32,Fees,0.32,0.0,87.0,,
2/3/20,Visa Purchase O/Seas          28Feb Usd7.00 Github,-10.88,Expense - Subscriptions & Software Licences,10.88,0.0,87.32,,
25/2/20,Visa Purchase                 23Feb Rent A Space Moore P Moore Par,-392.0,Expense - Storage,392.0,0.0,98.2,,
25/2/20,Visa Purchase                 22Feb Msft *<E0700Aeote>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,490.2,,
24/2/20,Internet Deposit              23Feb00:38 Jane Storage,500.0,Account Transfer (In),0.0,500.0,512.97,,
20/2/20,Visa Purchase                 18Feb Uber   *Trip         Sydney,-23.38,Expense - Travel - Taxis,23.38,0.0,12.97,,
18/2/20,Visa Purchase                 16Feb Space Dumpling & Noo Darlinghu,-47.1,Expense - Working Lunch,47.1,0.0,36.35,,
18/2/20,Visa Purchase                 15Feb Woolworths      1474 Redfern,-34.65,Personal - Groceries,34.65,0.0,83.45,,
13/2/20,Visa Purchase                 11Feb Cheapdomain          618942208,-104.5,Expense - Subscriptions & Software Licences,104.5,0.0,118.1,,
13/2/20,Visa Purchase                 12Feb Cityofsydney Parking Sydney,-5.2,Expense - Travel,5.2,0.0,222.6,,
12/2/20,Visa Purchase                 10Feb Woolworths      1474 Redfern,-42.92,Personal - Groceries,42.92,0.0,227.8,,
12/2/20,Visa Purchase                 11Feb Woolworths      1474 Redfern,-31.09,Personal - Groceries,31.09,0.0,270.72,,
12/2/20,Visa Purchase                 10Feb Smp*Zaida Cafe Pty L Surry Hil,-12.5,Personal - Eating Out,12.5,0.0,301.81,,
11/2/20,Visa Purchase                 08Feb Uber Trip Help.Uber. Sydney,-30.05,Expense - Travel - Taxis,30.05,0.0,314.31,,
11/2/20,Visa Purchase                 08Feb Uber Trip Help.Uber. Sydney,-28.8,Expense - Travel - Taxis,28.8,0.0,344.36,,
11/2/20,Visa Purchase                 09Feb Budget Petrol Chippe Chippenda,-24.0,Personal - Groceries,24.0,0.0,373.16,,
11/2/20,Foreign Currency Conversn Fee,-0.67,Fees,0.67,0.0,397.16,,
11/2/20,Visa Purchase O/Seas          07Feb Usd14.95 Audible*5C0Uf8Re3,-22.45,Expense - Subscriptions & Software Licences,22.45,0.0,397.83,,
11/2/20,Visa Purchase                 08Feb Hotel Greenwood Pty  North Syd,-22.0,Personal - Drinking Out,22.0,0.0,420.28,,
11/2/20,Visa Purchase                 08Feb Hotel Greenwood Pty  North Syd,-22.0,Personal - Drinking Out,22.0,0.0,442.28,,
11/2/20,Visa Purchase                 09Feb Freda's              Chippenda,-17.26,Personal - Drinking Out,17.26,0.0,464.28,,
11/2/20,Visa Purchase                 08Feb Freda's              Chippenda,-17.26,Personal - Drinking Out,17.26,0.0,481.54,,
11/2/20,Visa Purchase                 09Feb Budget Petrol Chippe Chippenda,-9.95,Personal - Eating Out,9.95,0.0,498.8,,
11/2/20,Visa Purchase                 08Feb Uber Trip Help.Uber. Sydney,-1.0,Expense - Travel - Taxis,1.0,0.0,508.75,,
11/2/20,Eftpos Debit                  11Feb09:03 Fountain Cafe         Alexandria   Nswau,-20.5,Expense - Office Supplies,20.5,0.0,509.75,,
10/2/20,Eftpos Debit                  09Feb16:11 Ikea Tempe            Tempe           Au,-138.98,Expense - Office Supplies,138.98,0.0,530.25,,
10/2/20,Eftpos Debit                  08Feb22:30 Liv*The Chippo Hotel  Chippendale  Nswau,-17.26,Personal - Drinking Out,17.26,0.0,669.23,,
8/2/20,Visa Purchase                 06Feb Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,686.49,,
3/2/20,Visa Purchase                 31Jan Paypal *Sam Harris   402935773,-6.22,Expense - Subscriptions & Software Licences,6.22,0.0,786.49,,
1/2/20,Visa Purchase                 31Jan Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,792.71,,
30/1/20,Visa Purchase                 28Jan Spotify P0E60E58D5   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,822.71,,
30/1/20,Foreign Currency Conversn Fee,-0.31,Fees,0.31,0.0,834.7,,
30/1/20,Visa Purchase O/Seas          28Jan Usd7.00 Github,-10.39,Expense - Subscriptions & Software Licences,10.39,0.0,835.01,,
29/1/20,Visa Purchase                 26Jan Uber   *Trip         Sydney,-36.9,Expense - Travel - Taxis,36.9,0.0,845.4,,
29/1/20,Visa Purchase                 26Jan Msft *<E0700A5W2J>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,882.3,,
29/1/20,Visa Purchase                 25Jan Uber   *Trip         Sydney,-8.77,Expense - Travel - Taxis,8.77,0.0,905.07,,
28/1/20,Visa Purchase                 24Jan Uber   *Trip         Sydney,-22.98,Expense - Travel - Taxis,22.98,0.0,913.84,,
28/1/20,Visa Purchase                 24Jan Uber   *Trip         Sydney,-16.33,Expense - Travel - Taxis,16.33,0.0,936.82,,
28/1/20,Visa Purchase                 24Jan Uber   *Trip         Sydney,-3.0,Expense - Travel - Taxis,3.0,0.0,953.15,,
25/1/20,Visa Purchase                 23Jan Gogetcarshare        130076938,-49.0,Expense - Travel,49.0,0.0,956.15,,
23/1/20,Internet Withdrawal           23Jan15:45 Homeloan,-2000.0,Personal,2000.0,0.0,1005.15,,
23/1/20,Internet Deposit              23Jan15:43 Jane And Clare,3000.0,Account Transfer (In),0.0,3000.0,3005.15,,
15/1/20,Visa Purchase                 13Jan Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,5.15,,
14/1/20,Visa Purchase                 12Jan Rent A Space Moore P Moore Par,-362.0,Expense - Storage,362.0,0.0,105.15,,
14/1/20,Foreign Currency Conversn Fee,-0.65,Fees,0.65,0.0,467.15,,
14/1/20,Visa Purchase O/Seas          11Jan Usd14.95 Audible Us*O910M0B73,-21.83,Expense - Subscriptions & Software Licences,21.83,0.0,467.8,,
14/1/20,Visa Purchase                 11Jan Uber   *Trip         Sydney,-19.16,Expense - Travel - Taxis,19.16,0.0,489.63,,
13/1/20,Visa Purchase                 10Jan Uber   *Trip         Sydney,-17.41,Expense - Travel - Taxis,17.41,0.0,508.79,,
13/1/20,Visa Purchase                 10Jan Uber   *Trip         Sydney,-10.0,Expense - Travel - Taxis,10.0,0.0,526.2,,
11/1/20,Internet Deposit              11Jan13:43 Jane Storage Rental,500.0,Account Transfer (In),0.0,500.0,536.2,,
10/1/20,Osko Deposit                  10Jan14:12 Aden John Fryer Mullens,17.0,Expense - Working Lunch,0.0,17.0,36.2,,
3/1/20,Visa Purchase                 31Dec Paypal *Sam Harris   402935773,-5.98,Expense - Subscriptions & Software Licences,5.98,0.0,19.2,,
2/1/20,Visa Purchase                 31Dec Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,25.18,,
31/12/19,Visa Purchase                 28Dec Uber   *Trip         Sydney,-20.44,Expense - Travel - Taxis,20.44,0.0,55.18,,
31/12/19,Visa Purchase                 28Dec Spotify P0E0314321   Sydney,-11.99,Expense - Subscriptions & Software Licences,11.99,0.0,75.62,,
31/12/19,Foreign Currency Conversn Fee,-0.3,Fees,0.3,0.0,87.61,,
31/12/19,Visa Purchase O/Seas          28Dec Usd7.00 Github,-10.09,Expense - Subscriptions & Software Licences,10.09,0.0,87.91,,
27/12/19,Osko Withdrawal               27Dec11:03 Wendy John Loan Repay 2 Wendy Ward,-5000.0,Personal - Loan Repay John & Wendy,5000.0,0.0,98.0,,
24/12/19,Visa Purchase                 22Dec Paypal *Linkedin     402935773,-39.99,Expense - Subscriptions & Software Licences,39.99,0.0,5098.0,,
24/12/19,Visa Purchase                 21Dec Msft *<E07009X8O1>   Msbill.In,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,5137.99,,
24/12/19,S R Healey Ward Rcpt: 3X8K9995Lml4,5000.0,Personal - Family,0.0,5000.0,5160.76,,
23/12/19,Visa Purchase                 20Dec Paypal *Netflix.Com  402-935-7,-19.76,Expense - Subscriptions & Software Licences,19.76,0.0,160.76,,
20/12/19,Visa Purchase                 18Dec Rent A Space Moore P Moore Par,-326.5,Expense - Storage,326.5,0.0,180.52,,
19/12/19,Visa Purchase                 17Dec Uber   *Trip         Sydney,-14.46,Expense - Travel - Taxis,14.46,0.0,507.02,,
18/12/19,Internet Deposit              18Dec10:44 Jane Stoage,500.0,Account Transfer (In),0.0,500.0,521.48,,
14/12/19,Visa Purchase                 12Dec Amnesty Internationa Chippenda,-100.0,Donation,100.0,0.0,21.48,,
10/12/19,Foreign Currency Conversn Fee,-0.65,Fees,0.65,0.0,121.48,,
10/12/19,Visa Purchase O/Seas          07Dec Usd14.95 Audible Us*Ig6Un9Rm3,-21.92,Expense - Subscriptions & Software Licences,21.92,0.0,122.13,,
5/12/19,Visa Purchase                 03Dec Msft * E07009Ok84    Sydney,-22.77,Expense - Subscriptions & Software Licences,22.77,0.0,144.05,,
4/12/19,Osko Deposit                  03Dec22:24 Pizza Ms Natalie Jane Swannack,35.0,Personal - Family,0.0,35.0,166.82,,
3/12/19,Visa Purchase                 30Nov Cancer Council Nsw   Woolloomo,-30.0,Donation,30.0,0.0,131.82,,
3/12/19,Visa Purchase                 30Nov Paypal *Sam Harris   402935773,-6.17,Expense - Subscriptions & Software Licences,6.17,0.0,161.82,,
