date,desc,amount,cat
2/1/18,Internet Withdrawal           02Jan10:33 Variation Claim 01 Pt 02,-10000,Personal
3/1/18,Visa Purchase                 31Dec Purpose Conference . Chippenda,-383.9,Professional Development
3/1/18,Visa Purchase                 31Dec Dan Murphy's    1365 Rosebery,-201.14,Personal Alcohol
4/1/18,Visa Purchase                 03Jan Shredding Services   Kogarah,-118,Doccument Shredding
4/1/18,Visa Purchase                 03Jan Cancer Council Nsw   Woolloomo,-30,Donation
4/1/18,Visa Purchase                 02Jan Google*Svcsapps Gree Cc Google,-16.5,Software
5/1/18,Atm Withdrawal                05Jan14:29 Strathfield Fuel         Strathfield  Au,-300,Personal Cash Withdrawal
5/1/18,Internet Withdrawal           05Jan08:48 Tfr 2 Me 4 General Life,-8000,Account Transfer (Out)
8/1/18,Visa Purchase                 06Jan Campos               Alexandri,-17.5,Office Supplies
9/1/18,Visa Purchase                 05Jan Redfern Continental  Redfern,-96.43,Personal - Dining Out
9/1/18,Visa Purchase                 06Jan Woolworths      1474 Redfern,-35.55,Personal
9/1/18,Visa Purchase                 07Jan Artificer Specialty  Surry Hil,-4.5,Office Supplies
11/1/18,Visa Purchase                 10Jan Taxi Combined 133300 Alexandri,-24.78,Travel
11/1/18,Rentalbondboard K912119-8 3 / 1,2534,Personal
11/1/18,Visa Credit                   09Jan Iexperts Pty Ltd     Sydney,-69,IT Repair
12/1/18,Visa Purchase                 11Jan Amnesty Internationa Chippenda,-100,Donation
12/1/18,Visa Purchase                 10Jan Paypal *Carshareaus  402935773,-32.4,Travel
12/1/18,Visa Purchase                 10Jan Paypal *Carshareaus  402935773,-8.11,Travel
12/1/18,Visa Purchase                 10Jan Paypal *Carshareaus  402935773,-8.11,Travel
12/1/18,Visa Purchase                 10Jan Paypal *Carshareaus  402935773,-8.09,Travel
12/1/18,Visa Purchase                 10Jan Paypal *Carshareaus  402935773,-8.09,Travel
19/1/18,National Centre Ezypayid 314071595,-15.99,Health
20/1/18,Foreign Currency Conversn Fee,-0.41,Fee
20/1/18,Visa Purchase O/Seas          18Jan Usd10.99 Netflix.Com,-13.84,Subscriptions
22/1/18,Foreign Currency Conversn Fee,-1.88,Fee
22/1/18,Visa Purchase O/Seas          19Jan Usd50.00 Mailchimp   *Monthly,-62.67,Marketing
23/1/18,Visa Purchase                 22Jan Petbarn Pty Ltd      Rozelle,-49.49,Personal
23/1/18,Internet Withdrawal           23Jan16:12 Stg2Me Tfr 4 Mortgage,-4000,Account Transfer (Out)
23/1/18,Atm Withdrawal                23Jan13:43 St.George Bank        Darlinghurst 2  Au,-100,Personal
25/1/18,Visa Purchase                 24Jan Uber   *Twbe2        Help.Uber,-23.02,Travel
25/1/18,Visa Purchase                 24Jan Uber Qzorh Help.Uber Sydney,-20.28,Travel
30/1/18,Visa Purchase                 28Jan Jetstar Air Nl939U   Mascot,-701.26,Travel
30/1/18,Visa Purchase                 28Jan Spotify P04C41Bd35   Sydney,-11.99,Subscriptions
30/1/18,Foreign Currency Conversn Fee,-0.26,Fee
30/1/18,Visa Purchase O/Seas          28Jan Usd7.00 Github.Com  3Zfx,-8.75,Software
30/1/18,Visa Purchase                 29Jan Woolworths      1474 Redfern,-5.25,Personal
31/1/18,Visa Purchase                 29Jan Hunters Corner       Redfern,-15,Personal
31/1/18,Internet Deposit              31Jan21:07 4 Mbc Balmain 2018-002,2110.25,Account Transfer (In)
31/1/18,Internet Withdrawal           31Jan21:03 Balmain Work To 20180109,-2110.25,Account Transfer (Out)
31/1/18,Internet Deposit              31Jan11:16 For Martin Place,1000,Account Transfer (In)
1/2/18,Visa Purchase                 31Jan Cancer Council Nsw   Woolloomo,-30,Donation
2/2/18,Visa Purchase                 31Jan Ezidebit Healthfit M Newstead,-1395,Health
